RXCUI,NDC,SUPPRESS
1299859,00093521401,N
1299859,42291057701,N
1299859,62175072037,N
1299861,58864066130,N
1299871,00093521301,N
1299871,42291057601,N
1299871,62175071237,N
1299890,00093521501,N
1299890,42291057801,N
1299890,62175072537,N
1299896,00093515001,N
1299896,00247127700,N
1299896,60505027201,N
1299896,62175017737,N
1299896,68462020801,N
1299896,68462020810,N
1299896,68462020890,N
1299897,00093001701,N
1299897,60505027101,N
1299897,62175017137,N
1299897,68462020901,N
1299897,68462020910,N
1299897,68462020990,N
1299959,58864083830,N
1361021,00362010110,N
1361023,00143956401,N
1361023,00143956410,N
1361023,51224001210,N
1361023,51224001220,N
1361023,68094010110,N
1361023,68094010120,N
1435630,52652100101,N
1435630,52652400101,N
308962,00143117401,N
308962,00378302201,N
308962,00781808001,N
308962,27241016301,N
308962,57721090501,N
308962,57721090504,N
308962,63629170601,N
308962,63629170602,N
308962,63629170603,N
308962,64679090501,N
308962,64679090504,N
308962,69292052801,N
308962,69292052850,N
308963,00143117101,N
308963,00143117110,N
308963,00378300701,N
308963,00378300710,N
308963,00781182810,N
308963,00781805201,N
308963,00781805210,N
308963,00904504561,N
308963,27241016001,N
308963,27241016010,N
308963,43063014630,N
308963,51079086301,N
308963,51079086320,N
308963,51875095502,N
308963,51875095505,N
308963,57721090201,N
308963,57721090202,N
308963,57721090205,N
308963,60687030411,N
308963,60687030421,N
308963,63629289601,N
308963,64679090201,N
308963,64679090202,N
308963,64679090205,N
308963,69292052201,N
308963,69292052210,N
308964,00093813410,N
308964,00143117301,N
308964,00143117310,N
308964,00378301701,N
308964,00378301710,N
308964,00781183801,N
308964,00781183810,N
308964,00781807501,N
308964,00781807510,N
308964,00904504761,N
308964,13411018402,N
308964,13411018403,N
308964,13411018406,N
308964,13411018409,N
308964,13411018410,N
308964,27241016201,N
308964,27241016210,N
308964,49999051130,N
308964,49999051160,N
308964,55289021230,N
308964,55289021290,N
308964,55887058201,N
308964,57721090401,N
308964,57721090402,N
308964,57721090405,N
308964,63874034801,N
308964,63874034810,N
308964,63874034814,N
308964,63874034820,N
308964,63874034830,N
308964,63874034860,N
308964,63874034890,N
308964,64679090401,N
308964,64679090402,N
308964,64679090405,N
308964,69292052601,N
308964,69292052610,N
310140,00378662993,N
310429,00054429725,N
310429,00054429731,N
310429,00054829725,N
310429,00172290860,N
310429,00172290880,N
310429,00378020801,N
310429,00378020810,N
310429,00378020893,N
310429,00615793705,N
310429,00615793707,N
310429,00615793714,N
310429,00615793728,N
310429,00615793730,N
310429,00615793739,N
310429,00615836805,N
310429,00615836830,N
310429,00615836839,N
310429,00781181801,N
310429,00781181810,N
310429,10544013130,N
310429,10544013190,N
310429,12634041600,N
310429,12634041601,N
310429,12634041609,N
310429,12634041612,N
310429,12634041618,N
310429,12634041640,N
310429,12634041642,N
310429,12634041645,N
310429,12634041650,N
310429,12634041652,N
310429,12634041654,N
310429,12634041657,N
310429,12634041659,N
310429,12634041660,N
310429,12634041661,N
310429,12634041663,N
310429,12634041666,N
310429,12634041667,N
310429,12634041669,N
310429,12634041671,N
310429,12634041674,N
310429,12634041678,N
310429,12634041679,N
310429,12634041680,N
310429,12634041681,N
310429,12634041682,N
310429,12634041684,N
310429,12634041685,N
310429,12634041690,N
310429,12634041691,N
310429,12634041692,N
310429,12634041693,N
310429,12634041694,N
310429,12634041695,N
310429,12634041696,N
310429,12634041697,N
310429,12634041698,N
310429,12634041699,N
310429,33358014901,N
310429,33358014920,N
310429,33358014930,N
310429,43063041601,N
310429,43063041630,N
310429,43063041679,N
310429,43063041690,N
310429,43063070221,N
310429,43063070230,N
310429,43063070260,N
310429,43063070279,N
310429,43063070290,N
310429,43063080621,N
