Name,RxCUI,Rx_Norm_Drug_Class,Drug_Class
quinapril 40 MG Oral Tablet [Accupro],103945,ACE,ACE
Lisinopril 2.5 MG Oral Tablet [Zestril],104375,ACE,ACE
Lisinopril 5 MG Oral Tablet [Zestril],104376,ACE,ACE
Lisinopril 10 MG Oral Tablet [Zestril],104377,ACE,ACE
Lisinopril 20 MG Oral Tablet [Zestril],104378,ACE,ACE
Perindopril Erbumine 4 MG Oral Tablet [Coversyl],104382,ACE,ACE
Ramipril 2.5 MG Oral Capsule [Altace],104384,ACE,ACE
Ramipril 5 MG Oral Capsule [Altace],104385,ACE,ACE
Cilazapril 0.25 MG Oral Tablet [Vascace],104388,ACE,ACE
Cilazapril 0.5 MG Oral Tablet [Vascace],104389,ACE,ACE
quinapril 5 MG Oral Tablet [Accupro],106680,ACE,ACE
quinapril 10 MG Oral Tablet [Accupro],106681,ACE,ACE
quinapril 20 MG Oral Tablet [Accupro],106682,ACE,ACE
Captopril 12.5 MG Oral Tablet [Ecopace],153275,ACE,ACE
Captopril 25 MG Oral Tablet [Ecopace],153276,ACE,ACE
Captopril 50 MG Oral Tablet [Ecopace],153277,ACE,ACE
Captopril 12.5 MG Oral Tablet [Kaplon],153311,ACE,ACE
Captopril 25 MG Oral Tablet [Kaplon],153312,ACE,ACE
Captopril 50 MG Oral Tablet [Kaplon],153313,ACE,ACE
Captopril 12.5 MG Oral Tablet [Hypapril],153460,ACE,ACE
Captopril 25 MG Oral Tablet [Hypapril],153461,ACE,ACE
Captopril 50 MG Oral Tablet [Hypapril],153462,ACE,ACE
Lisinopril 40 MG Oral Tablet,197884,ACE,ACE
Ramipril 2.5 MG Oral Capsule,198188,ACE,ACE
Ramipril 5 MG Oral Capsule,198189,ACE,ACE
trandolapril 2 MG Oral Tablet,199351,ACE,ACE
trandolapril 4 MG Oral Tablet,199352,ACE,ACE
trandolapril 1 MG Oral Tablet,199353,ACE,ACE
trandolapril 0.5 MG Oral Capsule,199622,ACE,ACE
Cilazapril 0.5 MG Oral Tablet,199707,ACE,ACE
Cilazapril 2.5 MG Oral Tablet,199708,ACE,ACE
Cilazapril 5 MG Oral Tablet,199709,ACE,ACE
trandolapril 1 MG Oral Capsule,199816,ACE,ACE
trandolapril 2 MG Oral Capsule,199817,ACE,ACE
Captopril 5 MG/ML Oral Solution,199931,ACE,ACE
Cilazapril 1 MG Oral Tablet,199937,ACE,ACE
Captopril 12.5 MG Oral Tablet [Acepril],201369,ACE,ACE
Captopril 12.5 MG Oral Tablet [Capoten],201370,ACE,ACE
Captopril 25 MG Oral Tablet [Acepril],201371,ACE,ACE
Captopril 25 MG Oral Tablet [Capoten],201372,ACE,ACE
Captopril 50 MG Oral Tablet [Acepril],201373,ACE,ACE
Captopril 50 MG Oral Tablet [Capoten],201374,ACE,ACE
Enalapril Maleate 10 MG Oral Tablet [Innovace],201377,ACE,ACE
Enalapril Maleate 20 MG Oral Tablet [Innovace],201378,ACE,ACE
Lisinopril 2.5 MG Oral Tablet [Carace],201379,ACE,ACE
Lisinopril 5 MG Oral Tablet [Carace],201380,ACE,ACE
Lisinopril 10 MG Oral Tablet [Carace],201381,ACE,ACE
Lisinopril 20 MG Oral Tablet [Carace],201382,ACE,ACE
Enalaprilat 1.25 MG/ML Injectable Solution,204404,ACE,ACE
Lisinopril 30 MG Oral Tablet,205326,ACE,ACE
Lisinopril 2.5 MG Oral Tablet [Prinivil],206763,ACE,ACE
Lisinopril 5 MG Oral Tablet [Prinivil],206764,ACE,ACE
Lisinopril 10 MG Oral Tablet [Prinivil],206765,ACE,ACE
Lisinopril 20 MG Oral Tablet [Prinivil],206766,ACE,ACE
Lisinopril 40 MG Oral Tablet [Prinivil],206770,ACE,ACE
Lisinopril 40 MG Oral Tablet [Zestril],206771,ACE,ACE
quinapril 5 MG Oral Tablet [Accupril],207891,ACE,ACE
quinapril 10 MG Oral Tablet [Accupril],207892,ACE,ACE
quinapril 20 MG Oral Tablet [Accupril],207893,ACE,ACE
quinapril 40 MG Oral Tablet [Accupril],207895,ACE,ACE
trandolapril 1 MG Oral Tablet [Mavik],210671,ACE,ACE
trandolapril 2 MG Oral Tablet [Mavik],210672,ACE,ACE
trandolapril 4 MG Oral Tablet [Mavik],210673,ACE,ACE
Captopril 100 MG Oral Tablet [Capoten],210994,ACE,ACE
Lisinopril 30 MG Oral Tablet [Zestril],213482,ACE,ACE
Captopril 12.5 MG Oral Tablet [Hyteneze],226700,ACE,ACE
Captopril 25 MG Oral Tablet [Hyteneze],226701,ACE,ACE
Captopril 50 MG Oral Tablet [Hyteneze],226702,ACE,ACE
Captopril 12.5 MG Oral Tablet [Tensopril],226706,ACE,ACE
Captopril 25 MG Oral Tablet [Tensopril],226707,ACE,ACE
Captopril 50 MG Oral Tablet [Tensopril],226708,ACE,ACE
Enalaprilat 1 MG/ML Injectable Solution,246264,ACE,ACE
Cilazapril 2 MG Oral Tablet,246643,ACE,ACE
Captopril 6.25 MG Oral Tablet,247516,ACE,ACE
Cilazapril 0.25 MG Oral Tablet,250413,ACE,ACE
Ramipril 2.5 MG Oral Tablet,251856,ACE,ACE
Ramipril 5 MG Oral Tablet,251857,ACE,ACE
Enalaprilat 0.625 MG/ML Injectable Solution,252820,ACE,ACE
Ramipril 10 MG Oral Capsule [Altace],260333,ACE,ACE
Ramipril 10 MG Oral Capsule,261962,ACE,ACE
Enalaprilat 1.25 MG/ML Injectable Solution [Enaprilat],284213,ACE,ACE
Captopril 100 MG Oral Tablet,308962,ACE,ACE
Captopril 12.5 MG Oral Tablet,308963,ACE,ACE
Captopril 50 MG Oral Tablet,308964,ACE,ACE
Lisinopril 2.5 MG Oral Tablet,311353,ACE,ACE
Lisinopril 5 MG Oral Tablet,311354,ACE,ACE
quinapril 10 MG Oral Tablet,312748,ACE,ACE
quinapril 20 MG Oral Tablet,312749,ACE,ACE
quinapril 5 MG Oral Tablet,312750,ACE,ACE
Lisinopril 10 MG Oral Tablet,314076,ACE,ACE
Lisinopril 20 MG Oral Tablet,314077,ACE,ACE
quinapril 40 MG Oral Tablet,314203,ACE,ACE
Captopril 25 MG Oral Tablet,317173,ACE,ACE
benazepril Oral Tablet,371001,ACE,ACE
Captopril Oral Tablet,371254,ACE,ACE
Cilazapril Oral Tablet,371506,ACE,ACE
Enalapril Oral Tablet,372007,ACE,ACE
Fosinopril Oral Tablet,372274,ACE,ACE
Lisinopril Oral Tablet,372614,ACE,ACE
Perindopril Oral Tablet,373293,ACE,ACE
quinapril Oral Tablet,373731,ACE,ACE
Ramipril Oral Capsule,373748,ACE,ACE
Ramipril Oral Tablet,373749,ACE,ACE
trandolapril Oral Capsule,374176,ACE,ACE
trandolapril Oral Tablet,374177,ACE,ACE
Enalaprilat Injectable Solution,374378,ACE,ACE
Captopril Oral Solution,374938,ACE,ACE
Enalapril Chewable Tablet,378269,ACE,ACE
Enalapril Injectable Solution,378288,ACE,ACE
imidapril 20 MG Oral Tablet,389182,ACE,ACE
imidapril 5 MG Oral Tablet,389183,ACE,ACE
imidapril 10 MG Oral Tablet,389184,ACE,ACE
imidapril Oral Tablet,393442,ACE,ACE
Ramipril 1.25 MG Oral Tablet,401965,ACE,ACE
Ramipril 10 MG Oral Tablet,401968,ACE,ACE
trandolapril 4 MG Oral Capsule,411434,ACE,ACE
quinapril 1 MG/ML Injectable Solution,413771,ACE,ACE
Captopril 75 MG Oral Tablet,428809,ACE,ACE
Captopril 5 MG Oral Tablet,428810,ACE,ACE
Captopril 2 MG Oral Tablet,428811,ACE,ACE
zofenopril 30 MG Oral Tablet,428825,ACE,ACE
zofenopril 7.5 MG Oral Tablet,428826,ACE,ACE
quinapril Injectable Solution,451330,ACE,ACE
zofenopril Oral Tablet,452698,ACE,ACE
Captopril 50 MG Oral Tablet [Capropril],541022,ACE,ACE
trandolapril Extended Release Tablet,582032,ACE,ACE
24 HR trandolapril 1 MG Extended Release Tablet,582033,ACE,ACE
quinapril 1 MG Oral Tablet,700490,ACE,ACE
Ramipril 1.25 MG Oral Tablet [Altace],730511,ACE,ACE
Ramipril 10 MG Oral Tablet [Altace],730512,ACE,ACE
Ramipril 2.5 MG Oral Tablet [Altace],730513,ACE,ACE
