RXCUI,GN,NDC,SUPPRESS
1719646,haloperidol,55154955305,N
1719803,haloperidol decanoate,68083013801,N
1719803,haloperidol decanoate,70069003105,N
1719862,haloperidol,63323046901,N
1719862,haloperidol,68083013710,N
1719862,haloperidol decanoate,70069003003,N
1730078,chlorpromazine,00641139831,N
1719862,haloperidol decanoate,72785000401,N
1719646,haloperidol,51662152401,N
1719803,haloperidol decanoate,63323047141,N
1719803,haloperidol decanoate,70069038305,N
1719862,haloperidol,00703701101,N
1719803,haloperidol,72785000601,N
1719862,haloperidol,70710146106,N
1730076,chlorpromazine,00641139731,N
1719803,haloperidol decanoate,10147092205,N
1719862,haloperidol decanoate,72785000409,N
1719803,haloperidol,67457040900,N
1719862,haloperidol,70710146109,N
1730076,promazine,55150031801,N
1730076,promazine,51662140601,N
1719862,haloperidol,70069003001,N
1719862,haloperidol,25021083101,N
2102949,prochlorperazine,43066009025,N
2102949,perazine,70860077810,N
1876502,haloperidol,76045073701,N
1719862,haloperidol,72785000401,N
1876502,haloperidol,76045073710,N
141935,haloperidol,00121058105,N
197535,clozapine,00093777219,N
197535,clozapine,00093777293,N
197535,clozapine,65862084605,N
197535,clozapine,72721176005,N
197536,clozapine,00093435901,N
197754,haloperidol,70518083102,N
197535,clozapine,51862090205,N
197535,clozapine,60687041511,N
197536,clozapine,16729014101,N
197536,clozapine,51862090005,N
198075,perphenazine,00591410401,N
198075,perphenazine,52536017001,N
198075,perphenazine,63629224801,N
198076,perphenazine,63629224901,N
198077,perphenazine,00591410201,N
198077,perphenazine,63629225001,N
198078,perphenazine,00378535201,N
198078,perphenazine,00781104801,N
198365,perazine,33358030060,N
198365,prochlorperazine,43063016004,N
198365,perazine,71335054303,N
197754,haloperidol,63874100401,N
198077,perphenazine,00781104713,N
198159,prochlorperazine,00713013510,N
198270,thioridazine,51079058001,N
198322,perazine,00781103001,N
198322,trifluoperazine,51079057220,N
198322,perazine,51079057220,N
198323,perazine,00781803601,N
198323,trifluoperazine,70518196000,N
198324,trifluoperazine,00781103201,N
198325,trifluoperazine,51079057401,N
198365,perazine,42291072901,N
198365,prochlorperazine,50268068515,N
198365,prochlorperazine,55289022406,N
198365,perazine,63187025130,N
200034,olanzapine,60505311008,N
283639,olanzapine,62756055683,N
198365,prochlorperazine,10135036801,N
198365,perazine,50090185402,N
198365,prochlorperazine,68788762802,N
200034,olanzapine,55111016378,N
283639,olanzapine,70771142102,N
197536,clozapine,51407008501,N
198325,trifluoperazine,00781103401,N
198076,perphenazine,00781104610,N
198078,perphenazine,63629225201,N
198159,perazine,52959035512,N
198325,perazine,00832049611,N
198365,prochlorperazine,42708010312,N
198365,prochlorperazine,43063074206,N
198365,prochlorperazine,54348011404,N
198365,perazine,55289022415,N
198365,perazine,70934041906,N
198365,prochlorperazine,71335095201,N
200034,olanzapine,50268060915,N
200034,olanzapine,67184056102,N
200034,olanzapine,68382036477,N
200034,olanzapine,69543038030,N
200034,olanzapine,70771141600,N
200034,olanzapine,71335176002,N
198324,perazine,68071080730,N
198365,perazine,33358030020,N
198365,prochlorperazine,71335054301,N
200034,olanzapine,14445010610,N
200034,olanzapine,55111016301,N
200034,olanzapine,62756055118,N
